insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('72-2643518', 'Carmen', 'Kinsman', '43', '903 701 1625', '7575305918');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('66-9488093', 'Nassarawa', 'Dorton', '58', '944 269 6037', '8469973916');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('38-9156077', 'Kryvyy Rih', 'Springs', '71917', '424 778 0247', '3466728451');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('31-9192458', 'Tây Hồ', 'Scoville', '666', '309 776 1733', '1628297484');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('31-3798336', 'Bulls', 'Fairfield', '0093', '353 267 3948', '7988803219');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('76-7734049', 'Shepetivka', 'Cherokee', '13787', '932 776 1275', '5295550663');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('23-3546837', 'Uyovu', 'Sachtjen', '947', '913 785 6898', '4443043478');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('85-2883514', 'Ngembul', 'Northridge', '42', '981 214 1672', '3207528291');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('01-7974646', 'Dresi Wetan', 'Bluejay', '9085', '929 586 5962', '5196356323');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('77-6568269', 'Totora', 'Burrows', '4678', '244 180 7185', '3648895604');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('22-7796255', 'Yujiao', 'Oakridge', '3', '649 179 8697', '1948646546');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('19-4639645', 'Hongyang', 'Claremont', '5801', '298 842 6939', '6492837289');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('62-4702789', 'Magog', 'East', '76902', '165 772 4911', '1016420881');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('61-0084170', 'Laguna Salada', 'Hooker', '0655', '504 310 1977', '1941593402');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('88-8381536', 'Miłosław', 'Crest Line', '969', '815 612 9745', '9441367793');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('52-5093106', 'Kwolla', 'Scott', '1879', '691 320 1276', '2981437948');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('78-1227202', 'Zahlé', 'Victoria', '25449', '574 183 4292', '5332719857');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('00-7860495', 'Rungis', 'Hollow Ridge', '92', '946 252 8961', '5077159357');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('29-3732098', 'Batou', 'Hollow Ridge', '81', '831 385 6850', '1557195683');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('16-8132077', 'Simpang', 'Hudson', '28', '661 233 7886', '9754002625');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('52-9543427', 'Malysheva', 'Randy', '04514', '212 695 4353', '5193076915');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('53-1880185', 'Parychy', 'Killdeer', '39', '402 370 1554', '1976786752');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('68-1522021', 'Tsuma', 'Bunting', '1958', '583 536 7744', '6462431316');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('73-8839291', 'Luntai', 'Northwestern', '2520', '928 441 9554', '5983117845');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('34-6078863', 'Arasji', 'Susan', '75915', '667 464 0536', '3925646519');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('79-7446332', 'Tonshayevo', 'Crownhardt', '069', '835 128 2746', '7502768465');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('38-5284121', 'Paris 09', 'Lindbergh', '3322', '405 956 9743', '1482536303');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('59-5430169', 'Calceta', 'Crescent Oaks', '15', '808 739 4607', '4073834573');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('45-4766665', 'Duczki', 'Northfield', '19882', '143 767 4234', '5932204270');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('59-6075977', 'Yatsushiro', 'Heath', '5', '812 759 3174', '2848996193');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('96-0997822', 'Montbrison', 'Helena', '00706', '789 496 6700', '6483458527');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('88-3261664', 'Kalunan', 'Melby', '6316', '472 602 3779', '5624087094');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('37-7377619', 'Olival Basto', 'Hermina', '484', '265 788 4089', '9448892973');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('15-0952942', 'Ipojuca', 'Crest Line', '507', '749 652 7418', '1777783268');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('27-9593124', 'Montijo', 'Macpherson', '1', '735 344 3286', '7897154747');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('06-7701813', 'Mafeng', 'Pankratz', '4', '807 829 2695', '3356367833');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('01-0320705', 'New Orleans', 'Vera', '9961', '504 123 5248', '9666493299');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('44-3567631', 'Jintang', 'Browning', '92687', '529 327 6908', '9162015866');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('36-3982481', 'Banjarwaru', 'Ridgeway', '17887', '967 800 8926', '1866773125');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('02-4577993', 'Hatu Buh', 'Laurel', '602', '699 415 8000', '4794112506');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('64-7329741', 'Massy', '7th', '48678', '666 129 6959', '8849586784');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('89-8118646', 'Mesyagutovo', 'Stang', '746', '406 818 9183', '1738828484');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('03-1276025', 'Vũ Thư', 'Monica', '41015', '169 573 3082', '4862808822');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('39-4973782', 'Enniskerry', 'Farragut', '8766', '687 384 1834', '6423975148');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('62-1728528', 'Tangguhang', 'Arizona', '80148', '995 700 9917', '2168012553');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('35-7132365', 'Mantar', 'Saint Paul', '2', '223 917 0829', '6065502464');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('01-4721365', 'Tsil’na', 'Johnson', '985', '989 839 4908', '3133822366');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('80-0092352', 'Cigagade', 'Thackeray', '3623', '755 202 4996', '3062465388');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('86-6906953', 'Stockholm', 'School', '8709', '659 738 4178', '1979429669');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('31-5469239', 'Gokwe', 'Talmadge', '7', '193 729 7222', '1818740683');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('39-0242666', 'Kelungkung', 'Butterfield', '386', '874 649 8889', '5057694750');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('20-4743372', 'Mundolsheim', 'Spohn', '67854', '660 290 3975', '1077068591');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('88-1549407', 'Zaragoza', 'Tennessee', '846', '994 448 1589', '3267001155');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('80-3726084', 'Klisura', 'Nelson', '0', '565 207 2778', '4151216353');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('18-5215083', 'Sucre', 'Crowley', '16', '666 423 6911', '2184234521');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('25-3246227', 'Santa Cruz das Palmeiras', 'Ridge Oak', '26709', '984 758 6986', '2764756607');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('99-9161179', 'Soure', 'Redwing', '5', '380 521 5601', '8363051880');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('27-1808373', 'Las Cruces', 'Claremont', '2', '505 375 2564', '2888985200');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('73-5116530', 'Tulle', 'Oakridge', '4462', '213 900 7185', '2369937410');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('53-2528600', 'Ciro Redondo', 'Lukken', '3455', '151 616 1072', '1114232863');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('07-0939922', 'Nueve de Julio', 'Nevada', '4661', '895 826 0717', '5003035244');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('58-3926057', 'Oja', 'Elgar', '2', '710 805 1766', '5697567834');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('19-3760644', 'El Tablón', 'Rutledge', '60887', '486 213 6436', '9465097747');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('42-3242641', 'Podgortsy', 'Cambridge', '03660', '841 872 3215', '6281682321');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('59-6942344', 'Priboj', 'Red Cloud', '37', '457 557 0934', '5386660688');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('43-5913295', 'Ağdaş', 'Miller', '87343', '262 462 3797', '3484383818');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('99-7546359', 'Bridgetown', 'Forest', '64854', '634 586 6401', '5291562746');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('81-5780114', 'Kainan', 'Menomonie', '147', '577 905 2810', '1244245519');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('76-4313930', 'Chibombo', 'Carpenter', '329', '468 913 9006', '5643564291');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('04-4550786', 'Konggar', 'Loftsgordon', '6452', '158 816 0363', '7845135783');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('77-8508258', 'Sa’erhusong', 'Declaration', '33639', '741 433 1886', '3109146627');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('64-4777206', 'Mayisyan', 'Tennyson', '9062', '575 284 9795', '3795062203');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('46-5715510', 'København', 'American', '2701', '343 773 7853', '1092808316');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('08-4486554', 'Huangduobu', 'Clyde Gallagher', '80', '912 858 9250', '8387895373');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('40-5774274', 'Chenda', 'Barby', '2682', '102 174 4088', '2726779154');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('22-7021277', 'Chiba', 'Schmedeman', '5', '780 149 7792', '2036989071');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('94-4327263', 'Nanwai', 'Monument', '331', '156 206 2236', '5442075139');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('16-8803893', 'Laborie', 'Hovde', '7351', '341 476 3538', '5777666425');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('12-7237553', 'Stuttgart Stuttgart-Mitte', 'Bartelt', '12', '661 161 0583', '7915426715');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('26-2016260', 'Oetuke', 'Hauk', '10', '431 609 8196', '9706458755');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('14-3001717', 'Puerto Francisco de Orellana', 'Melvin', '2735', '717 436 3963', '3509426191');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('22-1038771', 'Eséka', 'Lighthouse Bay', '24', '941 502 8875', '8479446292');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('00-3063314', 'Libertad', 'Ridgeway', '32', '297 615 7058', '4094166214');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('80-2638035', 'Guaíra', 'Golden Leaf', '656', '525 886 8519', '7016932040');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('61-9273009', 'San Roque', 'Darwin', '4', '803 890 3626', '9152755957');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('12-0418477', 'Stanley', 'Harbort', '986', '803 601 5660', '9311894481');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('77-6792012', 'Caleufú', 'Calypso', '2652', '183 211 3880', '5223286641');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('34-2383697', 'Stockholm', 'Cody', '1', '239 537 3143', '9322712826');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('92-7276357', 'Shuangxikou', 'Stuart', '13', '644 393 4938', '6734310147');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('90-0297769', 'Greystones', 'Green Ridge', '02', '370 266 1036', '6315770194');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('86-9625691', 'Zeya', 'Duke', '6', '796 519 9607', '3657286237');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('86-5711644', 'Yakovlevo', 'Lawn', '07098', '988 739 7546', '5055440189');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('73-8365562', 'Hezhi', 'Havey', '404', '523 907 2295', '1973654898');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('60-9910845', 'Guadalupe', 'Grover', '0974', '414 358 6128', '3788821108');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('32-4613279', 'Houmt Souk', 'Green Ridge', '122', '644 276 1282', '7083601374');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('91-9660624', 'Kaminokawa', 'Loeprich', '85915', '860 784 7105', '2493194333');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('81-1515568', 'Hantang', 'La Follette', '2801', '269 302 4704', '7239104063');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('04-8467000', 'Lillooet', 'Huxley', '169', '817 481 1885', '5136903298');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('78-9015188', 'Fatukanutu', 'Westend', '9031', '295 193 4091', '9958345060');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('73-3307269', 'Des Moines', 'Kingsford', '2', '515 840 5019', '3436113447');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('26-7699900', 'Lope de Vega', 'Chive', '55496', '721 854 4213', '4997318642');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('21-5134785', 'Tongtuan', 'Hoepker', '31', '186 688 0507', '3291047016');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('60-5262856', 'Berlin', 'Elgar', '70', '683 925 3796', '2781658300');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('66-5216151', 'Gravataí', 'Gina', '08', '453 626 7933', '6559076524');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('58-2679730', 'Cergy-Pontoise', 'Division', '96', '100 255 2266', '9953397685');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('56-3290086', 'Machikou', 'Hermina', '20217', '545 781 3246', '8829423500');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('76-4427455', 'Mērsrags', 'Forest Dale', '6', '843 789 1215', '8822119360');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('36-1655209', 'Xinwo', 'Hoard', '2340', '249 373 8902', '6904409378');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('46-3525490', 'Lanhas', 'Texas', '465', '637 951 4706', '5809493485');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('91-2530034', 'Tegalrejo', 'Grasskamp', '69335', '998 566 7263', '5788141588');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('03-0467084', 'Těšany', 'Corscot', '5', '950 914 2761', '3887721570');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('95-3902694', 'Chabařovice', 'Carberry', '50314', '719 268 0852', '2549273160');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('57-1156204', 'Valleymount', '2nd', '23', '150 698 6340', '2104088616');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('58-8542536', 'Tha Uthen', 'Montana', '8490', '531 791 0146', '3619157857');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('02-3477833', 'Arjona', 'Waxwing', '608', '953 366 6893', '5587684094');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('54-8002293', 'Kutampi', 'Carpenter', '2970', '590 726 2548', '5491180851');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('38-7764533', 'Fermoy', '7th', '4', '288 494 5557', '2082679745');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('70-7507390', 'Lagawe', 'Dawn', '1', '356 916 0588', '8005731732');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('72-1336974', 'Kaltungo', 'Morrow', '40214', '319 798 4985', '7283405867');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('41-7800589', 'Buluh Kasap', 'Transport', '4', '198 489 6904', '7048094776');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('18-7041424', 'Göteborg', 'Autumn Leaf', '73660', '497 795 8963', '4096332567');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('87-6330758', 'Niedercorn', 'Pawling', '7170', '533 914 4012', '8332856238');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('48-4624601', 'Charagua', 'Lakeland', '4', '840 587 5026', '7417720296');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('75-8827561', 'Taverny', 'Hanover', '43', '528 337 2243', '3598412593');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('36-7067937', 'Totoral', 'Algoma', '53', '670 198 2843', '6656073947');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('64-2644191', 'Lanxi', 'Crowley', '85', '232 155 8032', '4413886804');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('35-0196982', 'Stamford', 'Harbort', '81446', '203 389 6686', '3446324533');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('61-6248828', 'Prienai', 'Shasta', '51980', '238 390 9472', '9817210297');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('48-3790630', 'Shajia’ao', 'Rigney', '08285', '693 926 2197', '9967795560');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('11-1840597', 'Mpika', 'Derek', '952', '644 556 5039', '9176172741');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('34-8809863', 'Jakubowice Murowane', 'Mcbride', '0198', '851 771 8024', '6549437080');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('44-4059872', 'Saint John', 'Corben', '723', '881 927 5143', '6469403770');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('30-4792866', 'Heshui', 'Hovde', '5', '979 376 6805', '2679958561');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('88-8882066', 'Masaran', 'Transport', '0950', '609 744 7787', '4904218012');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('99-7175181', 'Sumuragung', 'Brickson Park', '94653', '128 636 9210', '1355675815');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('10-7806109', 'Krajan', 'Farmco', '7923', '182 992 9664', '8633051324');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('80-7617018', 'Sudzha', 'Hagan', '3', '144 496 2346', '5958064840');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('23-7709669', 'Yekimovichi', 'Corry', '33304', '960 622 5729', '6522781086');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('53-3661503', 'Szczerbice', 'Riverside', '427', '980 143 1360', '9985454672');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('94-3893006', 'Hihyā', 'Sunbrook', '8169', '583 795 1150', '9769542752');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('19-2533287', 'Tegalrejo', 'Jackson', '0485', '690 526 7476', '3814487040');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('90-7811153', 'Charlotte', 'Superior', '9', '704 462 4465', '2366246981');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('19-0777505', 'Wolomoni', 'Westridge', '6987', '155 399 3213', '1338937388');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('96-0746644', 'Guruafin', 'Columbus', '83', '696 495 7588', '5162403138');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('21-8222114', 'Aniva', 'Merry', '0', '158 190 6371', '6334578162');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('69-1934638', 'Yur’yev-Pol’skiy', 'Washington', '6857', '324 831 3059', '6338115096');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('59-5384728', 'Qiujia', 'Merry', '9586', '687 910 5233', '2033239002');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('04-3720198', 'Heping', 'Colorado', '33996', '178 166 7765', '1031744694');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('16-7054821', 'Bogatynia', 'Boyd', '7', '243 816 3203', '3627961599');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('55-9068980', 'Aracati', 'Susan', '64688', '705 812 7187', '7261333703');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('18-5097964', 'Kuz’minskiye Otverzhki', 'Meadow Vale', '37', '582 434 8999', '5494569755');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('72-7088596', 'Kuching', 'Westridge', '6', '572 457 9997', '1035835404');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('42-8553000', 'Léchovo', 'Moose', '14', '837 182 4517', '9927902998');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('34-7503058', 'Saint-Lô', 'Anniversary', '0', '916 242 7661', '4251773503');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('85-0113122', 'Canela', '6th', '78385', '436 557 8142', '3953006605');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('01-5467833', 'Xinxiang', 'Moulton', '9240', '971 226 4008', '7268077097');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('28-8695418', 'Singasari', 'Carpenter', '0909', '910 762 4993', '9707574693');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('79-6801460', 'Trieste', 'Charing Cross', '3332', '661 750 4659', '4179236998');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('52-3298598', 'Isugod', 'Dorton', '080', '875 719 9965', '6553530247');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('36-2041993', 'Chikola', 'Mendota', '95931', '475 597 0877', '2766857077');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('52-9757620', 'Daohe', 'Mcbride', '25873', '383 758 2683', '6421956453');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('41-2031774', 'Javalera', 'Canary', '5', '313 284 0345', '6585037041');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('14-1917605', 'Yangjia', 'Del Mar', '02086', '377 927 3158', '2531932775');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('06-8491874', 'Iitti', 'Florence', '40', '702 613 6682', '3189634651');
insert into proprietario (id_proprietario, citta, via, ncivico, telefono, fax) values ('41-3232354', 'Rayevskaya', 'Lawn', '1', '714 755 0042', '7905598044');
